#SampleID	IDstring	Country	Region	Age	Mbases	total_reads	human_perc	seqs	microbiome_seqs	KEGG_mapped	KEGG_mapped_perc	V4_16s_sequenced
TS3	TS3	USA	MOAFTS	50	78,031499	315917	0	315900	78,0273	106136,299	33,5980686926243	Yes
TS4	TS4	USA	MOAFTS	25	75,6787	288850	0	288836	75,675032	99321,998	34,386987079173	Yes
TS5	TS5	USA	MOAFTS	25	83,974716	333233	0	333219	83,971188	125404,184	37,6341637181553	Yes
TS6	TS6	USA	MOAFTS	50	91,92699	360498	0	360479	91,922145	132472,536	36,7490300405849	Yes
TS7	TS7	USA	MOAFTS	26	113,634178	438742	0	438719	113,628221	152781,838	34,8245318757565	Yes
TS8	TS8	USA	MOAFTS	26	96,442588	381196	0	381182	96,439046	138294,765	36,2805077364619	Yes
TS9	TS9	USA	MOAFTS	50	126,002895	494129	0	494102	125,99601	173300,731	35,0738776608878	Yes
USBldChld10	USBldChld10	USA	CO	1,3	44,109425	115789	0,1	115720	44,08932	43197,5	37,3293294158313	Yes
USBldChld2	USBldChld2	USA	CO	4,5	48,223782	128358	0,1	128291	48,237416	48080,599	37,477764613262	Yes
USBldChld4	USBldChld4	USA	CO	6	48,247208	128139	0,1	128029	48,266933	50837,167	39,7075404791102	Yes
USBldChld5	USBldChld5	USA	CO	3	74,156697	194350	0,1	194229	74,001249	70594,833	36,346185688028	Yes
USBldChld8	USBldChld8	USA	CO	1,6	64,652317	166196	0,1	166095	64,610955	59092,499	35,5775303290286	Yes
